Time,Sales,Transcations
2022-01-01T10:00:00.0000000Z,341.24,3
2022-01-01T10:15:00.0000000Z,281.63,4
2022-01-01T10:30:00.0000000Z,347.14,4
2022-01-01T10:45:00.0000000Z,452.55,4
2022-01-01T11:00:00.0000000Z,699.6600000000001,6
2022-01-01T11:15:00.0000000Z,653.6800000000001,6
2022-01-01T11:30:00.0000000Z,625.62,6
2022-01-01T11:45:00.0000000Z,358.05,5
2022-01-01T12:00:00.0000000Z,775.28,8
2022-01-01T12:15:00.0000000Z,573.02,8
2022-01-01T12:30:00.0000000Z,726.39,8
2022-01-01T12:45:00.0000000Z,1142.22,8
2022-01-01T13:00:00.0000000Z,798.33,9
2022-01-01T13:15:00.0000000Z,922.23,10
2022-01-01T13:30:00.0000000Z,813.52,10
2022-01-01T13:45:00.0000000Z,835.58,9
2022-01-01T14:00:00.0000000Z,987.52,8
2022-01-01T14:15:00.0000000Z,708.73,8
2022-01-01T14:30:00.0000000Z,780.85,8
2022-01-01T14:45:00.0000000Z,667.88,8
2022-01-01T15:00:00.0000000Z,383.68999999999994,6
2022-01-01T15:15:00.0000000Z,528.25,5
2022-01-01T15:30:00.0000000Z,745.82,6
2022-01-01T15:45:00.0000000Z,657.4,6
2022-01-01T16:00:00.0000000Z,478.97999999999996,6
2022-01-01T16:15:00.0000000Z,624.45,6
2022-01-01T16:30:00.0000000Z,790.87,6
2022-01-01T16:45:00.0000000Z,378.5,6
2022-01-01T17:00:00.0000000Z,873.51,7
2022-01-01T17:15:00.0000000Z,944.94,8
2022-01-01T17:30:00.0000000Z,1083.09,8
2022-01-01T17:45:00.0000000Z,781.51,7
2022-01-01T18:00:00.0000000Z,1256.11,10
2022-01-01T18:15:00.0000000Z,1108.33,10
2022-01-01T18:30:00.0000000Z,1137.34,10
2022-01-01T18:45:00.0000000Z,1035.07,9
2022-01-01T19:00:00.0000000Z,1021.8,12
2022-01-01T19:15:00.0000000Z,1500.67,12
2022-01-01T19:30:00.0000000Z,1454.36,11
2022-01-01T19:45:00.0000000Z,1125.9,12
2022-01-01T20:00:00.0000000Z,1354.97,12
2022-01-01T20:15:00.0000000Z,1309.27,12
2022-01-01T20:30:00.0000000Z,1074.94,11
2022-01-01T20:45:00.0000000Z,990.63,12
2022-01-01T21:00:00.0000000Z,718.51,8
2022-01-01T21:15:00.0000000Z,468.53,8
2022-01-01T21:30:00.0000000Z,831.02,7
2022-01-01T21:45:00.0000000Z,868.39,8
2022-01-01T22:00:00.0000000Z,397.22,4
2022-01-01T22:15:00.0000000Z,459.28,4
2022-01-01T22:30:00.0000000Z,535.22,4
2022-01-01T22:45:00.0000000Z,294.46,4
2022-01-01T23:00:00.0000000Z,346.71999999999997,4
2022-01-01T23:15:00.0000000Z,470.48,4
2022-01-01T23:30:00.0000000Z,641.02,4
2022-01-01T23:45:00.0000000Z,407.90999999999997,4
2022-01-02T00:00:00.0000000Z,69.37,1
2022-01-02T10:00:00.0000000Z,103.16,2
2022-01-02T10:15:00.0000000Z,421.27,4
2022-01-02T10:30:00.0000000Z,273.44,2
2022-01-02T10:45:00.0000000Z,168.41,3
2022-01-02T11:00:00.0000000Z,563.51,5
2022-01-02T11:15:00.0000000Z,513.11,4
2022-01-02T11:30:00.0000000Z,600.56,5
2022-01-02T11:45:00.0000000Z,418.97,5
2022-01-02T12:00:00.0000000Z,527.09,5
2022-01-02T12:15:00.0000000Z,575.59,6
2022-01-02T12:30:00.0000000Z,454.31,6
2022-01-02T12:45:00.0000000Z,535.0799999999999,6
